"Package","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","Built"
"ggside","0.3.1",NA,"ggplot2 (>= 3.5.0)","grid, gtable, rlang, scales (>= 1.3.0), cli, glue, stats,
tibble, vctrs",NA,"tidyr, dplyr, testthat (>= 3.0.3), knitr, rmarkdown, vdiffr
(>= 1.0.0), ggdendro, viridis, waldo",NA,"MIT + file LICENSE","4.4.0"
"ggsignif","0.6.4",NA,NA,"ggplot2 (>= 3.3.5)",NA,"knitr, rmarkdown, testthat, vdiffr (>= 1.0.2)",NA,"GPL-3 | file LICENSE","4.4.0"
"ggstats","0.6.0",NA,NA,"broom.helpers (>= 1.14.0), cli, dplyr, forcats, ggplot2 (>=
3.4.0), lifecycle, magrittr, patchwork, purrr, rlang, scales,
stats, stringr, tidyr",NA,"betareg, broom, emmeans, glue, knitr, labelled (>= 2.11.0),
reshape, rmarkdown, nnet, parameters, pscl, testthat (>=
3.0.0), spelling, survey, survival, vdiffr",NA,"GPL (>= 3)","4.4.0"
"ggstatsplot","0.12.3",NA,"R (>= 4.1.0)","correlation (>= 0.8.4), datawizard (>= 0.10.0), dplyr (>=
1.1.4), ggcorrplot (>= 0.1.4.1), ggplot2 (>= 3.5.0), ggrepel
(>= 0.9.5), ggside (>= 0.3.0), ggsignif (>= 0.6.4), glue,
insight (>= 0.19.10), paletteer (>= 1.6.0), parameters (>=
0.21.6), patchwork (>= 1.2.0), performance (>= 0.11.0), purrr
(>= 1.0.2), rlang, stats, statsExpressions (>= 1.5.4), tidyr
(>= 1.3.1), utils",NA,"afex, BayesFactor (>= 0.9.12-4.7), gapminder, knitr, lme4 (>=
1.1-35.2), MASS, metaBMA, metafor, metaplus, psych, rmarkdown,
rstantools, survival, testthat (>= 3.2.1), tibble, vdiffr (>=
1.0.7), withr, WRS2",NA,"GPL-3 | file LICENSE","4.4.0"
"glue","1.8.0",NA,"R (>= 3.6)","methods",NA,"crayon, DBI (>= 1.2.0), dplyr, knitr, magrittr, rlang,
rmarkdown, RSQLite, testthat (>= 3.2.0), vctrs (>= 0.3.0),
waldo (>= 0.5.3), withr",NA,"MIT + file LICENSE","4.4.0"
"gmp","0.7-5",NA,"R (>= 3.5.0)","methods",NA,"Rmpfr, MASS, round",NA,"GPL (>= 2)","4.4.0"
"googledrive","2.1.1",NA,"R (>= 3.6)","cli (>= 3.0.0), gargle (>= 1.5.0), glue (>= 1.4.2), httr,
jsonlite, lifecycle, magrittr, pillar (>= 1.9.0), purrr (>=
1.0.1), rlang (>= 1.0.2), tibble (>= 2.0.0), utils, uuid, vctrs
(>= 0.3.0), withr",NA,"curl, dplyr (>= 1.0.0), knitr, mockr, rmarkdown, spelling,
testthat (>= 3.1.3)",NA,"MIT + file LICENSE","4.4.0"
"googlesheets4","1.1.1",NA,"R (>= 3.6)","cellranger, cli (>= 3.0.0), curl, gargle (>= 1.5.0), glue (>=
1.3.0), googledrive (>= 2.1.0), httr, ids, lifecycle, magrittr,
methods, purrr, rematch2, rlang (>= 1.0.2), tibble (>= 2.1.1),
utils, vctrs (>= 0.2.3), withr",NA,"readr, rmarkdown, spelling, testthat (>= 3.1.7)",NA,"MIT + file LICENSE","4.4.0"
"gridExtra","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)","4.4.0"
"gt","0.10.1",NA,"R (>= 3.2.0)","base64enc (>= 0.1-3), bigD (>= 0.2), bitops (>= 1.0-7), cli
(>= 3.6.0), commonmark (>= 1.8.1), dplyr (>= 1.1.0), fs (>=
1.6.1), glue (>= 1.6.2), htmltools (>= 0.5.4), htmlwidgets (>=
1.6.1), juicyjuice (>= 0.1.0), magrittr (>= 2.0.2), markdown
(>= 1.5), reactable (>= 0.4.3), rlang (>= 1.0.2), sass (>=
0.4.5), scales (>= 1.2.1), tidyselect (>= 1.2.0), vctrs, xml2
(>= 1.3.3)",NA,"covr, digest (>= 0.6.31), fontawesome (>= 0.5.2), ggplot2,
knitr, lubridate, magick, paletteer, RColorBrewer, rmarkdown
(>= 2.20), rvest, shiny (>= 1.7.4), testthat (>= 3.1.9), tidyr,
webshot2 (>= 0.1.0)",NA,"MIT + file LICENSE","4.4.0"
"gtable","0.3.6",NA,"R (>= 4.0)","cli, glue, grid, lifecycle, rlang (>= 1.1.0), stats",NA,"covr, ggplot2, knitr, profvis, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE","4.4.0"
"gtsummary","1.7.2",NA,"R (>= 3.4)","broom (>= 1.0.1), broom.helpers (>= 1.13.0), cli (>= 3.1.1),
dplyr (>= 1.1.1), forcats (>= 1.0.0), glue (>= 1.6.2), gt (>=
0.9.0), knitr (>= 1.37), lifecycle (>= 1.0.1), purrr (>=
1.0.1), rlang (>= 1.0.3), stringr (>= 1.4.0), tibble (>=
3.2.1), tidyr (>= 1.1.4), vctrs (>= 0.5.2)",NA,"aod (>= 1.3.1), broom.mixed (>= 0.2.9), car (>= 3.0-11),
cmprsk, covr, effectsize (>= 0.6.0), emmeans (>= 1.7.3),
flextable (>= 0.8.1), geepack, ggstats (>= 0.2.1), Hmisc,
huxtable (>= 5.4.0), insight (>= 0.15.0), kableExtra (>=
1.3.4), lme4, mgcv, mice (>= 3.10.0), nnet, officer, openxlsx,
parameters (>= 0.20.2), parsnip (>= 0.1.7), rmarkdown, sandwich
(>= 3.0.1), scales, smd (>= 0.6.6), spelling (>= 2.2), survey,
survival (>= 3.2-11), testthat (>= 3.0.4), tidycmprsk (>=
0.1.2), workflows (>= 0.2.4)",NA,"MIT + file LICENSE","4.4.0"
"haven","2.5.4",NA,"R (>= 3.6)","cli (>= 3.0.0), forcats (>= 0.2.0), hms, lifecycle, methods,
readr (>= 0.1.0), rlang (>= 0.4.0), tibble, tidyselect, vctrs
(>= 0.3.0)","cpp11","covr, crayon, fs, knitr, pillar (>= 1.4.0), rmarkdown,
testthat (>= 3.0.0), utf8",NA,"MIT + file LICENSE","4.4.0"
"here","1.0.1",NA,NA,"rprojroot (>= 2.0.2)",NA,"conflicted, covr, fs, knitr, palmerpenguins, plyr, readr,
rlang, rmarkdown, testthat, uuid, withr",NA,"MIT + file LICENSE","4.4.0"
"highr","0.10",NA,"R (>= 3.3.0)","xfun (>= 0.18)",NA,"knitr, markdown, testit",NA,"GPL","4.4.0"
"hms","1.1.3",NA,NA,"lifecycle, methods, pkgconfig, rlang (>= 1.0.2), vctrs (>=
0.3.8)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat (>= 3.0.0)",NA,"MIT + file LICENSE","4.4.0"
"htmltools","0.5.8.1",NA,"R (>= 2.14.1)","base64enc, digest, fastmap (>= 1.1.0), grDevices, rlang (>=
1.0.0), utils",NA,"Cairo, markdown, ragg, shiny, testthat, withr","knitr","GPL (>= 2)","4.4.0"
"htmlwidgets","1.6.4",NA,NA,"grDevices, htmltools (>= 0.5.7), jsonlite (>= 0.9.16), knitr
(>= 1.8), rmarkdown, yaml",NA,"testthat","shiny (>= 1.1)","MIT + file LICENSE","4.4.0"
"httpuv","1.6.16",NA,"R (>= 2.15.1)","later (>= 0.8.0), promises, R6, Rcpp (>= 1.0.7), utils","later, Rcpp","callr, curl, jsonlite, testthat, websocket",NA,"GPL (>= 2) | file LICENSE","4.4.0"
"httr","1.4.7",NA,"R (>= 3.5)","curl (>= 5.0.2), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE","4.4.0"
"hypergeo","1.2-14",NA,"R (>= 3.1.0),","elliptic (>= 1.3-5), contfrac (>= 1.1-9), deSolve",NA,NA,NA,"GPL-2","4.4.0"
"ids","1.0.1",NA,NA,"openssl, uuid",NA,"knitr, rcorpora, rmarkdown, testthat",NA,"MIT + file LICENSE","4.4.0"
"insight","0.19.11",NA,"R (>= 3.6)","methods, stats, utils",NA,"AER, afex, aod, BayesFactor, bayestestR, bbmle, bdsmatrix,
betareg, bife, biglm, blavaan, blme, boot, brms, broom, car,
carData, censReg, cgam, clubSandwich, coxme, cplm, crch, curl,
datawizard, effectsize, emmeans, epiR, estimatr, feisr, fixest
(>= 0.11.2), fungible, gam, gamlss, gamlss.data, gamm4, gbm,
gee, geepack, geoR, ggeffects, GLMMadaptive, glmmTMB, gmnl,
grDevices, gt, httr, interp, ivreg, JM, knitr, lavaan,
lavaSearch2, lfe, lme4, lmerTest, lmtest, logistf, logitr,
MASS, marginaleffects, Matrix, mclogit, mclust, MCMCglmm,
merTools, metaBMA, metadat, metafor, metaplus, mgcv, mice,
mlogit, mmrm, modelbased, multgee, MuMIn, nestedLogit, nlme,
nnet, nonnest2, ordinal, panelr, parameters, parsnip, pbkrtest,
performance, plm, poorman, PROreg (>= 1.3.0), pscl, psych,
quantreg, Rcpp, rmarkdown, rms, rpart, robustbase, robustlmm,
rstanarm (>= 2.21.1), rstantools (>= 2.1.0), rstudioapi,
sandwich, serp, speedglm, splines, statmod, survey, survival,
testthat, tinytable (>= 0.1.0), truncreg, tweedie, TMB, VGAM,
withr",NA,"GPL-3","4.4.0"
"irr","0.84.1",NA,"R (>= 2.10), lpSolve",NA,NA,NA,NA,"GPL (>= 2)","4.4.0"
"ISLR","1.4",NA,"R (>= 3.5.0)",NA,NA,"MASS",NA,"GPL-2","4.4.0"
"isoband","0.2.7",NA,NA,"grid, utils",NA,"covr, ggplot2, knitr, magick, microbenchmark, rmarkdown, sf,
testthat, xml2",NA,"MIT + file LICENSE","4.4.0"
"iterators","1.0.14",NA,"R (>= 2.5.0), utils",NA,NA,"RUnit, foreach",NA,"Apache License (== 2.0)","4.4.0"
"janitor","2.2.0",NA,"R (>= 3.1.2)","dplyr (>= 1.0.0), hms, lifecycle, lubridate, magrittr, purrr,
rlang, stringi, stringr, snakecase (>= 0.9.2), tidyselect (>=
1.0.0), tidyr (>= 0.7.0)",NA,"dbplyr, knitr, rmarkdown, RSQLite, sf, testthat (>= 3.0.0),
tibble, tidygraph",NA,"MIT + file LICENSE","4.4.0"
"jquerylib","0.1.4",NA,NA,"htmltools",NA,"testthat",NA,"MIT + file LICENSE","4.4.0"
"jsonlite","1.8.8",NA,"methods",NA,NA,"httr, vctrs, testthat, knitr, rmarkdown, R.rsp, sf",NA,"MIT + file LICENSE","4.4.0"
"juicyjuice","0.1.0",NA,NA,"V8 (>= 4.2.0)",NA,"testthat (>= 3.0.0)",NA,"MIT + file LICENSE","4.4.0"
"kableExtra","1.4.0",NA,"R (>= 3.1.0)","knitr (>= 1.33), magrittr, stringr (>= 1.0), xml2 (>= 1.1.1),
rmarkdown (>= 1.6.0), scales, viridisLite, stats, grDevices,
htmltools, rstudioapi, tools, digest, graphics, svglite",NA,"testthat, magick, tinytex, formattable, sparkline, webshot2",NA,"MIT + file LICENSE","4.4.0"
"knitr","1.46",NA,"R (>= 3.3.0)","evaluate (>= 0.15), highr, methods, tools, xfun (>= 0.43),
yaml (>= 2.1.19)",NA,"bslib, codetools, DBI (>= 0.4-1), digest, formatR, gifski,
gridSVG, htmlwidgets (>= 0.7), jpeg, JuliaCall (>= 0.11.1),
magick, markdown (>= 1.3), png, ragg, reticulate (>= 1.4), rgl
(>= 0.95.1201), rlang, rmarkdown, sass, showtext, styler (>=
1.2.0), targets (>= 0.6.0), testit, tibble, tikzDevice (>=
0.10), tinytex (>= 0.46), webshot, rstudioapi, svglite",NA,"GPL","4.4.0"
"kSamples","1.2-10",NA,"SuppDists","methods, graphics, stats",NA,NA,NA,"GPL (>= 2)","4.4.0"
"labeling","0.4.3",NA,NA,"stats, graphics",NA,NA,NA,"MIT + file LICENSE | Unlimited","4.4.0"
"labelled","2.13.0",NA,"R (>= 3.0)","haven (>= 2.4.1), dplyr (>= 1.0.0), lifecycle, rlang, vctrs,
stringr, tidyr, tidyselect",NA,"testthat, knitr, rmarkdown, questionr, snakecase, utf8, covr,
spelling","memisc","GPL (>= 3)","4.4.0"
"later","1.4.2",NA,NA,"Rcpp (>= 0.12.9), rlang","Rcpp","knitr, nanonext, R6, rmarkdown, testthat (>= 2.1.0)",NA,"MIT + file LICENSE","4.4.0"
"lazyeval","0.2.2",NA,"R (>= 3.1.0)",NA,NA,"knitr, rmarkdown (>= 0.2.65), testthat, covr",NA,"GPL-3","4.4.0"
"libcoin","1.0-10",NA,"R (>= 3.4.0)","stats, mvtnorm","mvtnorm","coin",NA,"GPL-2","4.4.0"
"lifecycle","1.0.4",NA,"R (>= 3.6)","cli (>= 3.4.0), glue, rlang (>= 1.1.0)",NA,"covr, crayon, knitr, lintr, rmarkdown, testthat (>= 3.0.1),
tibble, tidyverse, tools, vctrs, withr",NA,"MIT + file LICENSE","4.4.0"
"lme4","1.1-35.3",NA,"R (>= 3.5.0), Matrix (>= 1.2-1), methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4)","Rcpp (>= 0.10.5), RcppEigen (>= 0.3.3.9.4), Matrix","knitr, rmarkdown, MEMSS, testthat (>= 0.8.1), ggplot2,
mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR3,
numDeriv, car, dfoptim, mgcv, statmod, rr2, semEff, tibble,
merDeriv",NA,"GPL (>= 2)","4.4.0"
"lmerTest","3.1-3",NA,"R (>= 3.2.5), lme4 (>= 1.1-10), stats, methods","numDeriv, MASS, ggplot2",NA,"pbkrtest (>= 0.4-3), tools",NA,"GPL (>= 2)","4.4.0"
"lmtest","0.9-40",NA,"R (>= 3.0.0), stats, zoo","graphics",NA,"car, strucchange, sandwich, dynlm, stats4, survival, AER",NA,"GPL-2 | GPL-3","4.4.0"
"lpSolve","5.6.20",NA,NA,NA,NA,NA,NA,"LGPL-2","4.4.0"
"lubridate","1.9.3",NA,"methods, R (>= 3.2)","generics, timechange (>= 0.1.1)",NA,"covr, knitr, rmarkdown, testthat (>= 2.1.0), vctrs (>= 0.5.0)","chron, data.table, timeDate, tis, zoo","GPL (>= 2)","4.4.0"
"magrittr","2.0.3",NA,"R (>= 3.4.0)",NA,NA,"covr, knitr, rlang, rmarkdown, testthat",NA,"MIT + file LICENSE","4.4.0"
"markdown","1.12",NA,"R (>= 2.11.1)","utils, commonmark (>= 1.9.0), xfun (>= 0.38)",NA,"knitr, rmarkdown (>= 2.18), yaml, RCurl",NA,"MIT + file LICENSE","4.4.0"
"MatrixModels","0.5-4",NA,"R (>= 3.6.0)","stats, methods, Matrix (>= 1.6-0), Matrix(< 1.8-0)",NA,NA,NA,"GPL (>= 2)","4.4.0"
"matrixStats","1.3.0",NA,"R (>= 2.12.0)",NA,NA,"utils, base64enc, ggplot2, knitr, markdown, microbenchmark,
R.devices, R.rsp",NA,"Artistic-2.0","4.4.0"
"memoise","2.0.1",NA,NA,"rlang (>= 0.4.10), cachem",NA,"digest, aws.s3, covr, googleAuthR, googleCloudStorageR, httr,
testthat",NA,"MIT + file LICENSE","4.4.0"
"microbenchmark","1.5.0",NA,"R (>= 3.2.0)","graphics, stats",NA,"ggplot2, multcomp, RUnit",NA,"BSD_2_clause + file LICENSE","4.4.0"
"mime","0.12",NA,NA,"tools",NA,NA,NA,"GPL","4.4.0"
"minqa","1.2.8",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2","4.4.0"
"modelbased","0.8.7",NA,"R (>= 3.6)","bayestestR (>= 0.13.1), datawizard (>= 0.9.1), effectsize (>=
0.8.6), insight (>= 0.19.8), parameters (>= 0.21.3),
performance (>= 0.10.8), graphics, stats, utils",NA,"brms, correlation, emmeans (>= 1.8.3), gamm4, gganimate,
ggplot2, glmmTMB, knitr, lme4, logspline, marginaleffects,
mgcv, patchwork, poorman, report, rmarkdown, rstanarm, rtdists,
see (>= 0.7.4), testthat",NA,"GPL-3","4.4.0"
"modelr","0.1.11",NA,"R (>= 3.2)","broom, magrittr, purrr (>= 0.2.2), rlang (>= 1.0.6), tibble,
tidyr (>= 0.8.0), tidyselect, vctrs",NA,"compiler, covr, ggplot2, testthat (>= 3.0.0)",NA,"GPL-3","4.4.0"
"modelsummary","2.1.0",NA,"R (>= 4.0.0)","checkmate (>= 2.3.1), data.table (>= 1.15.2), generics, glue,
insight (>= 0.19.11), methods, parameters (>= 0.21.7),
performance (>= 0.11.0), tables (>= 0.9.17), tinytable (>=
0.3.0)",NA,"AER, altdoc, Amelia, betareg, bookdown, brms, broom,
broom.mixed, car, clubSandwich, correlation, covr, did, digest,
DT, estimatr, fixest, flextable, future, future.apply, gamlss,
ggdist, ggplot2, gh, gt (>= 0.8.0), gtExtras, haven, huxtable,
labelled, IRdisplay, ivreg, kableExtra, knitr, lavaan, lfe,
lme4, lmtest, magick, magrittr, marginaleffects, MASS, mgcv,
mice, nlme, nnet, officer, openxlsx, pandoc, parallel, pscl,
psych, remotes, rmarkdown, rstanarm, rsvg, sandwich, spelling,
survey, survival, tibble, tictoc, tidyselect, tidyverse,
tinysnapshot, tinytest, tinytex, webshot2, wesanderson",NA,"GPL-3","4.4.0"
"modeltools","0.2-23",NA,"stats, stats4","methods",NA,NA,NA,"GPL-2","4.4.0"
"moments","0.14.1",NA,NA,NA,NA,NA,NA,"GPL (>= 2)","4.4.0"
"multcomp","1.4-25",NA,"stats, graphics, mvtnorm (>= 1.0-10), survival (>= 2.39-4),
TH.data (>= 1.0-2)","sandwich (>= 2.3-0), codetools",NA,"lme4 (>= 0.999375-16), nlme, robustbase, coin, MASS, foreign,
xtable, lmtest, coxme (>= 2.2-1), SimComp, ISwR, tram (>=
0.2-5), fixest (>= 0.10), glmmTMB",NA,"GPL-2","4.4.0"
"multcompView","0.1-10",NA,NA,"grid",NA,"multcomp, pgirmess, MASS",NA,"GPL","4.4.0"
"munsell","0.5.1",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE","4.4.0"
"mvtnorm","1.2-4",NA,"R(>= 3.5.0)","stats",NA,"qrng, numDeriv",NA,"GPL-2","4.4.0"
"nloptr","2.2.1",NA,NA,NA,NA,"knitr, rmarkdown, covr, tinytest",NA,"LGPL (>= 3)","4.4.0"
"numDeriv","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2","4.4.0"
"openssl","2.1.2",NA,NA,"askpass",NA,"curl, testthat (>= 2.1.0), digest, knitr, rmarkdown,
jsonlite, jose, sodium",NA,"MIT + file LICENSE","4.4.0"
"paletteer","1.6.0",NA,"R (>= 2.10)","prismatic, rematch2, rlang, rstudioapi",NA,"covr, ggplot2 (>= 3.3.0), ggthemes (>= 4.0.0), harrypotter
(>= 2.1.0), knitr, oompaBase, palr, pals, rmarkdown, scico,
testthat (>= 2.1.0), vdiffr, viridisLite",NA,"GPL-3","4.4.0"
"parameters","0.21.7",NA,"R (>= 3.6)","bayestestR (>= 0.13.2), datawizard (>= 0.10.0), insight (>=
0.19.10), graphics, methods, stats, utils",NA,"AER, afex, aod, BayesFactor (>= 0.9.12-4.7), BayesFM, bbmle,
betareg, BH, biglm, blme, boot, brglm2, brms, broom, cAIC4,
car, carData, cgam, ClassDiscovery, clubSandwich, cluster,
coda, coxme, cplm, dbscan, domir (>= 0.2.0), drc, DRR,
effectsize (>= 0.8.6), EGAnet, emmeans (>= 1.7.0), epiR,
estimatr, factoextra, FactoMineR, faraway, fastICA, fixest,
fpc, gam, gamlss, gee, geepack, ggeffects (>= 1.3.2), ggplot2,
GLMMadaptive, glmmTMB, GPArotation, gt, haven, httr, Hmisc,
ivreg, knitr, lavaan, lfe, lm.beta, lme4, lmerTest, lmtest,
logistf, logspline, lqmm, M3C, marginaleffects (>= 0.20.1),
MASS, Matrix, mclogit, mclust, MCMCglmm, mediation, merDeriv,
metaBMA, metafor, mfx, mgcv, mice, mmrm, multcomp, MuMIn,
NbClust, nFactors, nestedLogit, nlme, nnet, openxlsx, ordinal,
panelr, pbkrtest, PCDimension, performance (>= 0.10.8), plm,
PMCMRplus, poorman, posterior, PROreg (>= 1.3.0), pscl, psych,
pvclust, quantreg, randomForest, rmarkdown, rms, rstanarm,
sandwich, see (>= 0.8.1), serp, sparsepca, survey, survival,
testthat (>= 3.2.1), tidyselect, tinytable (>= 0.1.0), TMB,
truncreg, VGAM, withr, WRS2",NA,"GPL-3","4.4.0"
"patchwork","1.3.1",NA,NA,"ggplot2 (>= 3.0.0), gtable (>= 0.3.6), grid, stats, grDevices,
utils, graphics, rlang (>= 1.0.0), cli, farver",NA,"knitr, rmarkdown, gridGraphics, gridExtra, ragg, testthat (>=
2.1.0), vdiffr, covr, png, gt (>= 0.11.0)",NA,"MIT + file LICENSE","4.4.0"
"pbapply","1.7-4",NA,"R (>= 3.2.0)","parallel",NA,"shiny, future, future.apply",NA,"GPL (>= 2)","4.4.0"
"pbkrtest","0.5.5",NA,"R (>= 4.2.0), lme4 (>= 1.1.31)","broom, dplyr, MASS, methods, numDeriv, Matrix (>= 1.2.3), doBy
(>= 4.6.22)",NA,"nlme, markdown, knitr",NA,"GPL (>= 2)","4.4.0"
"performance","0.11.0",NA,"R (>= 3.6)","bayestestR (>= 0.13.2), insight (>= 0.19.9), datawizard (>=
0.9.1), stats, utils",NA,"AER, afex, BayesFactor, bayesplot, betareg, bigutilsr,
blavaan, boot, brms, car, carData, CompQuadForm, correlation,
cplm, dbscan, DHARMa, estimatr, fixest, flextable, forecast,
ftExtra, gamm4, ggplot2, glmmTMB, graphics, Hmisc, httr, ICS,
ICSOutlier, ISLR, ivreg, lavaan, lme4, lmtest, loo, MASS,
Matrix, mclogit, mclust, metadat, metafor, mgcv, mlogit,
multimode, nestedLogit, nlme, nonnest2, ordinal, parallel,
parameters (>= 0.21.4), patchwork, pscl, psych, quantreg,
qqplotr (>= 0.0.6), randomForest, rempsyc, rmarkdown, rstanarm,
rstantools, sandwich, see (>= 0.8.2), survey, survival,
testthat (>= 3.2.1), tweedie, VGAM, withr (>= 3.0.0)",NA,"GPL-3","4.4.0"
"pillar","1.9.0",NA,NA,"cli (>= 2.3.0), fansi, glue, lifecycle, rlang (>= 1.0.2), utf8
(>= 1.1.0), utils, vctrs (>= 0.5.0)",NA,"bit64, DBI, debugme, DiagrammeR, dplyr, formattable, ggplot2,
knitr, lubridate, nanotime, nycflights13, palmerpenguins,
rmarkdown, scales, stringi, survival, testthat (>= 3.1.1),
tibble, units (>= 0.7.2), vdiffr, withr",NA,"MIT + file LICENSE","4.4.0"
"pkgconfig","2.0.3",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE","4.4.0"
